incident_id,timestamp,network_element,region,raw_log,alarm_type,kpi_summary,packet_loss_percent,latency_ms,call_drop_rate,throughput_mbps,rrc_failure_rate,handover_failure_rate,prb_utilization,sinr_db,fault_category,root_cause,severity,resolution_steps,source_dataset
INC_000011,2024-03-03 22:30:00,AMF_8768,Chennai-OMR,Deleting block blk_6138894560185644209 file /mnt/hadoop/dfs/data/current/subdir42/blk_6138894560185644209,Data Transfer Delay,"packet_loss=7.91%, latency=113.62ms, call_drop_rate=3.71%, throughput=33.03Mbps, rrc_failure_rate=1.64%, handover_failure_rate=4.51%, prb_utilization=70.94%, sinr=16.97dB",7.91,113.62,3.71,33.03,1.64,4.51,70.94,16.97,Transport Degradation,High transport latency during data transfer,High,Validate link counters and inspect retransmission or packet drop trends,Loghub-HDFS
INC_000012,2024-03-04 19:51:00,UPF_9254,Delhi-NCR,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_-23492739449820023 size 67108864,Transport Throughput Degradation,"packet_loss=9.86%, latency=178.51ms, call_drop_rate=5.79%, throughput=33.6Mbps, rrc_failure_rate=3.97%, handover_failure_rate=1.03%, prb_utilization=66.45%, sinr=17.97dB",9.86,178.51,5.79,33.6,3.97,1.03,66.45,17.97,Transport Degradation,Temporary throughput reduction on transport link,High,Validate link counters and inspect retransmission or packet drop trends,Loghub-HDFS
INC_000013,2024-03-04 04:28:00,AggregationRouter_6038,Mumbai-West,- 1122168606 2005.07.23 R16-M1-NA-C:J09-U11 2005-07-23-18.30.06.965137 R16-M1-NA-C:J09-U11 RAS KERNEL INFO 1005 floating point alignment exceptions,ECC Memory Correction,"packet_loss=0.72%, latency=74.1ms, call_drop_rate=1.62%, throughput=23.93Mbps, rrc_failure_rate=3.79%, handover_failure_rate=2.67%, prb_utilization=46.81%, sinr=17.05dB",0.72,74.1,1.62,23.93,3.79,2.67,46.81,17.05,Memory/Cache Error,Processor cache parity fault,Medium,Run node diagnostics and verify memory/cache error counters,Loghub-BGL
INC_000014,2024-03-06 04:55:00,UPF_8984,Delhi-NCR,"- 1129353114 2005.10.14 R13-M1-N3-C:J05-U11 2005-10-14-22.11.54.142836 R13-M1-N3-C:J05-U11 RAS KERNEL INFO CE sym 14, at 0x08d4e740, mask 0x01",Cache Error Alarm,"packet_loss=3.92%, latency=125.74ms, call_drop_rate=2.72%, throughput=42.0Mbps, rrc_failure_rate=4.82%, handover_failure_rate=2.08%, prb_utilization=44.85%, sinr=22.81dB",3.92,125.74,2.72,42.0,4.82,2.08,44.85,22.81,Memory/Cache Error,ECC memory correction event,High,"Monitor repeated parity errors, check memory diagnostics, and replace memory module if recurring",Loghub-BGL
INC_000015,2024-03-04 20:57:00,MME_1478,Chennai-OMR,BLOCK* NameSystem.delete: blk_2713941272199175167 is added to invalidSet of 10.251.38.53:50010,Configuration Consistency Alarm,"packet_loss=2.57%, latency=118.98ms, call_drop_rate=8.01%, throughput=55.51Mbps, rrc_failure_rate=4.69%, handover_failure_rate=10.18%, prb_utilization=72.62%, sinr=11.31dB",2.57,118.98,8.01,55.51,4.69,10.18,72.62,11.31,Configuration Error,Incorrect or missing network mapping metadata,High,Audit recent configuration changes and rollback if needed,Loghub-HDFS
INC_000016,2024-03-02 00:43:00,gNodeB_7114,Pune-Hinjewadi,Received block blk_-997605125898553536 of size 67108864 from /10.251.30.179,Data Transfer Delay,"packet_loss=9.66%, latency=93.66ms, call_drop_rate=4.92%, throughput=29.53Mbps, rrc_failure_rate=1.6%, handover_failure_rate=2.56%, prb_utilization=53.95%, sinr=23.2dB",9.66,93.66,4.92,29.53,1.6,2.56,53.95,23.2,Transport Degradation,High transport latency during data transfer,High,"Check throughput, interface utilization, and transport latency between nodes",Loghub-HDFS
INC_000017,2024-03-04 07:04:00,AggregationRouter_6217,Gurugram-Sector-44,- 1122431319 2005.07.26 R16-M0-ND-C:J17-U01 2005-07-26-19.28.39.681757 R16-M0-ND-C:J17-U01 RAS KERNEL INFO generating core.59976,Control Stream Failure,"packet_loss=9.31%, latency=180.97ms, call_drop_rate=3.4%, throughput=31.3Mbps, rrc_failure_rate=6.96%, handover_failure_rate=5.37%, prb_utilization=66.57%, sinr=22.52dB",9.31,180.97,3.4,31.3,6.96,5.37,66.57,22.52,Application Crash,Application process crash generated core dump,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000018,2024-03-02 15:20:00,CellSite_9717,Hyderabad-HITEC-City,- 1120145091 2005.06.30 R26-M0-NA-C:J17-U11 2005-06-30-08.24.51.228685 R26-M0-NA-C:J17-U11 RAS KERNEL INFO generating core.29308,Control Stream Failure,"packet_loss=6.85%, latency=141.05ms, call_drop_rate=7.46%, throughput=15.12Mbps, rrc_failure_rate=2.93%, handover_failure_rate=2.11%, prb_utilization=52.54%, sinr=22.76dB",6.85,141.05,7.46,15.12,2.93,2.11,52.54,22.76,Application Crash,Runtime process failure,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000019,2024-03-02 15:40:00,CellSite_7404,Delhi-NCR,- 1120487708 2005.07.04 R34-M1-N4-C:J09-U11 2005-07-04-07.35.08.890879 R34-M1-N4-C:J09-U11 RAS KERNEL INFO generating core.13558,Control Stream Failure,"packet_loss=5.26%, latency=93.49ms, call_drop_rate=6.71%, throughput=56.11Mbps, rrc_failure_rate=2.92%, handover_failure_rate=5.76%, prb_utilization=58.21%, sinr=19.56dB",5.26,93.49,6.71,56.11,2.92,5.76,58.21,19.56,Application Crash,Runtime process failure,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000020,2024-03-01 16:06:00,gNodeB_8807,Mumbai-West,- 1118813039 2005.06.14 R02-M1-N0-C:J12-U11 2005-06-14-22.23.59.470421 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,Cache Error Alarm,"packet_loss=1.61%, latency=135.99ms, call_drop_rate=3.07%, throughput=20.58Mbps, rrc_failure_rate=4.33%, handover_failure_rate=1.37%, prb_utilization=38.72%, sinr=23.08dB",1.61,135.99,3.07,20.58,4.33,1.37,38.72,23.08,Memory/Cache Error,Correctable memory or cache parity error,High,Run node diagnostics and verify memory/cache error counters,Loghub-BGL
INC_000021,2024-03-02 23:16:00,AMF_1821,Chennai-OMR,"- 1127243216 2005.09.20 NULL 2005-09-20-12.06.56.253999 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",No Major Alarm,"packet_loss=0.04%, latency=47.61ms, call_drop_rate=0.9%, throughput=115.96Mbps, rrc_failure_rate=0.38%, handover_failure_rate=0.71%, prb_utilization=26.34%, sinr=28.32dB",0.04,47.61,0.9,115.96,0.38,0.71,26.34,28.32,Normal,Network operating within acceptable KPI thresholds,Low,Continue monitoring network KPIs,Loghub-BGL
INC_000022,2024-03-04 11:45:00,MME_9040,Gurugram-Sector-44,- 1131142377 2005.11.04 R62-M0-N4-C:J15-U11 2005-11-04-14.12.57.989477 R62-M0-N4-C:J15-U11 RAS KERNEL INFO iar 001066c4 dear 0252527c,No Major Alarm,"packet_loss=1.14%, latency=52.58ms, call_drop_rate=0.73%, throughput=117.09Mbps, rrc_failure_rate=0.35%, handover_failure_rate=0.85%, prb_utilization=33.93%, sinr=27.54dB",1.14,52.58,0.73,117.09,0.35,0.85,33.93,27.54,Normal,Network operating within acceptable KPI thresholds,Low,Continue monitoring network KPIs,Loghub-BGL
INC_000023,2024-03-06 12:35:00,MME_9479,Bengaluru-East,Deleting block blk_3862032846413436284 file /mnt/hadoop/dfs/data/current/subdir28/blk_3862032846413436284,Block Transfer Latency,"packet_loss=9.14%, latency=188.15ms, call_drop_rate=3.62%, throughput=42.36Mbps, rrc_failure_rate=4.61%, handover_failure_rate=4.13%, prb_utilization=57.87%, sinr=15.56dB",9.14,188.15,3.62,42.36,4.61,4.13,57.87,15.56,Transport Degradation,High transport latency during data transfer,High,Monitor transfer delay and escalate if degradation persists,Loghub-HDFS
INC_000024,2024-03-05 17:36:00,gNodeB_2477,Pune-Hinjewadi,- 1131473771 2005.11.08 R62-M0-N4-C:J11-U11 2005-11-08-10.16.11.798242 R62-M0-N4-C:J11-U11 RAS KERNEL INFO iar 001061e8 dear 0247015c,No Major Alarm,"packet_loss=0.53%, latency=69.72ms, call_drop_rate=0.37%, throughput=69.21Mbps, rrc_failure_rate=0.09%, handover_failure_rate=0.95%, prb_utilization=50.64%, sinr=18.81dB",0.53,69.72,0.37,69.21,0.09,0.95,50.64,18.81,Normal,Network operating within acceptable KPI thresholds,Low,Continue monitoring network KPIs,Loghub-BGL
INC_000025,2024-03-02 12:04:00,eNodeB_3401,Chennai-OMR,PacketResponder 2 for block blk_2974262690755997396 terminating,Packet Responder Termination,"packet_loss=17.34%, latency=313.02ms, call_drop_rate=6.44%, throughput=7.8Mbps, rrc_failure_rate=2.13%, handover_failure_rate=3.21%, prb_utilization=43.68%, sinr=14.13dB",17.34,313.02,6.44,7.8,2.13,3.21,43.68,14.13,Backhaul Issue,Backhaul data stream instability,Critical,Run ping and traceroute between affected nodes and verify packet loss,Loghub-HDFS
INC_000026,2024-03-01 10:18:00,UPF_3501,Gurugram-Sector-44,- 1118767049 2005.06.14 R25-M1-N3-C:J16-U01 2005-06-14-09.37.29.304192 R25-M1-N3-C:J16-U01 RAS KERNEL FATAL data address: 0x00000002,Application Core Dump,"packet_loss=2.4%, latency=99.07ms, call_drop_rate=6.74%, throughput=35.33Mbps, rrc_failure_rate=5.77%, handover_failure_rate=3.51%, prb_utilization=61.62%, sinr=20.42dB",2.4,99.07,6.74,35.33,5.77,3.51,61.62,20.42,Application Crash,Runtime process failure,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000027,2024-03-07 13:20:00,MME_7178,Bengaluru-East,PacketResponder 2 for block blk_6791628131402590260 terminating,Packet Responder Termination,"packet_loss=12.14%, latency=195.35ms, call_drop_rate=6.61%, throughput=24.81Mbps, rrc_failure_rate=3.21%, handover_failure_rate=1.62%, prb_utilization=72.31%, sinr=12.1dB",12.14,195.35,6.61,24.81,3.21,1.62,72.31,12.1,Backhaul Issue,Backhaul data stream instability,High,Run ping and traceroute between affected nodes and verify packet loss,Loghub-HDFS
INC_000028,2024-03-04 11:16:00,MME_2674,Delhi-NCR,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.109.209:50010 is added to blk_3764801892187716497 size 67108864,Transport Throughput Degradation,"packet_loss=5.69%, latency=122.33ms, call_drop_rate=3.06%, throughput=31.41Mbps, rrc_failure_rate=1.1%, handover_failure_rate=2.81%, prb_utilization=55.93%, sinr=12.78dB",5.69,122.33,3.06,31.41,1.1,2.81,55.93,12.78,Transport Degradation,High transport latency during data transfer,High,Monitor transfer delay and escalate if degradation persists,Loghub-HDFS
INC_000029,2024-03-01 11:00:00,CellSite_9351,Pune-Hinjewadi,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,Block Transfer Latency,"packet_loss=4.04%, latency=206.11ms, call_drop_rate=2.56%, throughput=42.6Mbps, rrc_failure_rate=2.27%, handover_failure_rate=2.57%, prb_utilization=66.58%, sinr=22.11dB",4.04,206.11,2.56,42.6,2.27,2.57,66.58,22.11,Transport Degradation,Intermittent degradation in node-to-node data path,High,Monitor transfer delay and escalate if degradation persists,Loghub-HDFS
INC_000030,2024-03-05 08:40:00,MME_2866,Pune-Hinjewadi,"- 1123976348 2005.08.13 R60-M1-NC-I:J18-U01 2005-08-13-16.39.08.734879 R60-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/scaletest/stability/MDCASK/WORK/65576/inferno: invalid or missing program image, No such file or directory",Control Stream Failure,"packet_loss=6.8%, latency=129.93ms, call_drop_rate=3.4%, throughput=18.71Mbps, rrc_failure_rate=3.93%, handover_failure_rate=1.92%, prb_utilization=74.48%, sinr=23.6dB",6.8,129.93,3.4,18.71,3.93,1.92,74.48,23.6,Application Crash,Runtime process failure,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000031,2024-03-01 15:00:00,UPF_5480,Bengaluru-East,10.251.71.97:50010 Served block blk_5454332143498402824 to /10.250.15.67,Data Transfer Delay,"packet_loss=3.3%, latency=116.88ms, call_drop_rate=5.63%, throughput=22.64Mbps, rrc_failure_rate=2.88%, handover_failure_rate=2.82%, prb_utilization=46.63%, sinr=23.77dB",3.3,116.88,5.63,22.64,2.88,2.82,46.63,23.77,Transport Degradation,High transport latency during data transfer,High,Monitor transfer delay and escalate if degradation persists,Loghub-HDFS
INC_000032,2024-03-01 20:27:00,gNodeB_3445,Chennai-OMR,- 1123608679 2005.08.09 R70-M0-N0 2005-08-09-10.31.19.671420 R70-M0-N0 NULL DISCOVERY SEVERE Can not get assembly information for node card,No Major Alarm,"packet_loss=1.08%, latency=30.71ms, call_drop_rate=0.71%, throughput=105.4Mbps, rrc_failure_rate=0.17%, handover_failure_rate=0.95%, prb_utilization=62.56%, sinr=24.23dB",1.08,30.71,0.71,105.4,0.17,0.95,62.56,24.23,Normal,Network operating within acceptable KPI thresholds,Low,Continue monitoring network KPIs,Loghub-BGL
INC_000033,2024-03-07 15:55:00,UPF_9829,Bengaluru-East,Receiving block blk_-4655280636272058732 src: /10.251.26.8:48892 dest: /10.251.26.8:50010,Data Transfer Delay,"packet_loss=9.65%, latency=117.59ms, call_drop_rate=3.1%, throughput=19.97Mbps, rrc_failure_rate=3.92%, handover_failure_rate=3.58%, prb_utilization=68.34%, sinr=18.2dB",9.65,117.59,3.1,19.97,3.92,3.58,68.34,18.2,Transport Degradation,Intermittent degradation in node-to-node data path,High,Validate link counters and inspect retransmission or packet drop trends,Loghub-HDFS
INC_000034,2024-03-01 15:30:00,eNodeB_4569,Bengaluru-East,Deleting block blk_-8588908000680498 file /mnt/hadoop/dfs/data/current/subdir21/blk_-8588908000680498,Data Transfer Delay,"packet_loss=7.89%, latency=137.13ms, call_drop_rate=4.14%, throughput=22.31Mbps, rrc_failure_rate=1.57%, handover_failure_rate=1.55%, prb_utilization=54.85%, sinr=21.35dB",7.89,137.13,4.14,22.31,1.57,1.55,54.85,21.35,Transport Degradation,Intermittent degradation in node-to-node data path,High,"Check throughput, interface utilization, and transport latency between nodes",Loghub-HDFS
INC_000035,2024-03-02 01:36:00,AggregationRouter_5705,Bengaluru-East,BLOCK* NameSystem.delete: blk_-9056276727170871967 is added to invalidSet of 10.251.66.3:50010,Replication Policy Violation,"packet_loss=7.02%, latency=99.51ms, call_drop_rate=4.9%, throughput=22.59Mbps, rrc_failure_rate=4.88%, handover_failure_rate=3.52%, prb_utilization=65.71%, sinr=22.73dB",7.02,99.51,4.9,22.59,4.88,3.52,65.71,22.73,Configuration Error,Incorrect or missing network mapping metadata,High,Check replication policy and restore missing metadata,Loghub-HDFS
INC_000036,2024-03-01 10:00:00,AggregationRouter_1356,Mumbai-West,KERNDTLB 1118552691 2005.06.11 R30-M0-N9-C:J16-U01 2005-06-11-22.04.51.794882 R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,Process Crash,"packet_loss=7.83%, latency=103.64ms, call_drop_rate=5.06%, throughput=50.43Mbps, rrc_failure_rate=4.72%, handover_failure_rate=3.57%, prb_utilization=63.27%, sinr=12.69dB",7.83,103.64,5.06,50.43,4.72,3.57,63.27,12.69,Application Crash,Runtime process failure,High,Check application logs and control stream connectivity,Loghub-BGL
INC_000037,2024-03-02 19:30:00,UPF_1205,Mumbai-West,- 1121256804 2005.07.13 R23-M0-N2-C:J07-U01 2005-07-13-05.13.24.457117 R23-M0-N2-C:J07-U01 RAS KERNEL INFO generating core.22494,Control Stream Failure,"packet_loss=9.09%, latency=123.16ms, call_drop_rate=5.67%, throughput=46.41Mbps, rrc_failure_rate=5.66%, handover_failure_rate=3.3%, prb_utilization=61.83%, sinr=19.14dB",9.09,123.16,5.67,46.41,5.66,3.3,61.83,19.14,Application Crash,Control stream failure between node and management process,High,Check application logs and control stream connectivity,Loghub-BGL
INC_000038,2024-03-03 17:58:00,UPF_2064,Pune-Hinjewadi,"- 1134623156 2005.12.14 R61-M0-N8-C:J17-U11 2005-12-14-21.05.56.145306 R61-M0-N8-C:J17-U11 RAS KERNEL INFO 2 ddr error(s) detected and corrected on rank 0, symbol 34 over 2738 seconds",Memory Parity Alarm,"packet_loss=2.8%, latency=138.19ms, call_drop_rate=2.67%, throughput=36.44Mbps, rrc_failure_rate=3.45%, handover_failure_rate=2.52%, prb_utilization=39.12%, sinr=20.94dB",2.8,138.19,2.67,36.44,3.45,2.52,39.12,20.94,Memory/Cache Error,Processor cache parity fault,High,Run node diagnostics and verify memory/cache error counters,Loghub-BGL
INC_000039,2024-03-01 22:51:00,AggregationRouter_8006,Pune-Hinjewadi,Deleting block blk_-4298255715894292387 file /mnt/hadoop/dfs/data/current/subdir38/blk_-4298255715894292387,Data Transfer Delay,"packet_loss=7.7%, latency=101.36ms, call_drop_rate=4.05%, throughput=16.81Mbps, rrc_failure_rate=2.27%, handover_failure_rate=3.42%, prb_utilization=78.02%, sinr=22.9dB",7.7,101.36,4.05,16.81,2.27,3.42,78.02,22.9,Transport Degradation,Intermittent degradation in node-to-node data path,High,"Check throughput, interface utilization, and transport latency between nodes",Loghub-HDFS
INC_000040,2024-03-06 04:24:00,AggregationRouter_7861,Delhi-NCR,PacketResponder 0 for block blk_-2268477281422551537 terminating,Packet Responder Termination,"packet_loss=14.92%, latency=161.86ms, call_drop_rate=5.01%, throughput=19.25Mbps, rrc_failure_rate=3.16%, handover_failure_rate=3.46%, prb_utilization=58.89%, sinr=17.34dB",14.92,161.86,5.01,19.25,3.16,3.46,58.89,17.34,Backhaul Issue,Transport pipeline termination between nodes,High,Escalate to transport team for backhaul path validation,Loghub-HDFS
INC_000041,2024-03-01 14:12:00,AggregationRouter_7102,Hyderabad-HITEC-City,Received block blk_6534693994677948144 of size 67108864 from /10.251.201.204,Transport Throughput Degradation,"packet_loss=4.44%, latency=217.81ms, call_drop_rate=3.68%, throughput=43.64Mbps, rrc_failure_rate=4.89%, handover_failure_rate=1.57%, prb_utilization=54.79%, sinr=12.53dB",4.44,217.81,3.68,43.64,4.89,1.57,54.79,12.53,Transport Degradation,Temporary throughput reduction on transport link,High,Validate link counters and inspect retransmission or packet drop trends,Loghub-HDFS
INC_000042,2024-03-01 16:47:00,CellSite_7904,Mumbai-West,- 1121598991 2005.07.17 R11-M1-NA-C:J05-U11 2005-07-17-04.16.31.772786 R11-M1-NA-C:J05-U11 RAS KERNEL INFO generating core.45167,Application Core Dump,"packet_loss=7.04%, latency=127.23ms, call_drop_rate=4.26%, throughput=45.03Mbps, rrc_failure_rate=7.12%, handover_failure_rate=2.49%, prb_utilization=53.17%, sinr=15.55dB",7.04,127.23,4.26,45.03,7.12,2.49,53.17,15.55,Application Crash,Runtime process failure,High,Restart impacted service and monitor for recurring crash signatures,Loghub-BGL
INC_000043,2024-03-03 21:52:00,AMF_7335,Delhi-NCR,Receiving block blk_1463530401988623658 src: /10.251.111.37:41293 dest: /10.251.111.37:50010,Transport Throughput Degradation,"packet_loss=3.67%, latency=199.9ms, call_drop_rate=2.88%, throughput=26.08Mbps, rrc_failure_rate=1.66%, handover_failure_rate=1.69%, prb_utilization=52.71%, sinr=13.29dB",3.67,199.9,2.88,26.08,1.66,1.69,52.71,13.29,Transport Degradation,Temporary throughput reduction on transport link,High,Validate link counters and inspect retransmission or packet drop trends,Loghub-HDFS
INC_000044,2024-03-03 10:50:00,eNodeB_5589,Mumbai-West,- 1120939553 2005.07.09 R25-M1-N2-C:J03-U01 2005-07-09-13.05.53.029625 R25-M1-N2-C:J03-U01 RAS KERNEL INFO generating core.46559,Application Core Dump,"packet_loss=2.15%, latency=204.95ms, call_drop_rate=3.86%, throughput=53.38Mbps, rrc_failure_rate=6.78%, handover_failure_rate=5.48%, prb_utilization=64.96%, sinr=17.46dB",2.15,204.95,3.86,53.38,6.78,5.48,64.96,17.46,Application Crash,Control stream failure between node and management process,High,"Inspect core dump logs, restart affected process, and validate service health",Loghub-BGL
INC_000045,2024-03-01 19:04:00,gNodeB_1435,Bengaluru-East,BLOCK* NameSystem.delete: blk_-3225035678192156905 is added to invalidSet of 10.251.38.214:50010,Configuration Consistency Alarm,"packet_loss=7.73%, latency=178.97ms, call_drop_rate=2.67%, throughput=67.64Mbps, rrc_failure_rate=10.73%, handover_failure_rate=10.01%, prb_utilization=72.41%, sinr=16.82dB",7.73,178.97,2.67,67.64,10.73,10.01,72.41,16.82,Configuration Error,Incorrect or missing network mapping metadata,High,"Validate configuration consistency, compare with golden config, and repair missing mappings",Loghub-HDFS
INC_000046,2024-03-02 02:37:00,CellSite_7923,Bengaluru-East,PacketResponder 1 for block blk_-352190670750948803 terminating,Packet Responder Termination,"packet_loss=21.92%, latency=214.53ms, call_drop_rate=3.13%, throughput=18.41Mbps, rrc_failure_rate=1.91%, handover_failure_rate=1.41%, prb_utilization=69.0%, sinr=15.56dB",21.92,214.53,3.13,18.41,1.91,1.41,69.0,15.56,Backhaul Issue,Backhaul data stream instability,Critical,Escalate to transport team for backhaul path validation,Loghub-HDFS
